Emails,Labels
"

11451001013_ME F110 » Forums » Announcements » Makeup Classes
Picture of Ravinder Kumar . 	
Makeup Classes
  	
PDF document Timetable WP.pdf

Dear Students

Please submit the makeup applications (hardcopy) to Mr. K G Daiya in the new workshop. The application must contain your details, the reason (with proof) of absence, and the name of the shop for which the makeup is required. The applications will be reviewed and only the genuine cases will be considered. 

Late registered students- You may have missed 3-4 classes due to late registration. Submit the makeup application mentioning the name of the shops you have missed. You can attend regular class of any section (if you are free) during the week and can perform the makeup experiments along with the regular students. Please discuss this with Mr. K G Daiya at the time of application and receive a consent from him. At the time of class, inform the instructor/technician that you are attending a makeup class. I am attaching the workshop schedule for your convenience.


See this post in context
Change your forum digest preferences


",Academics
"

11451001008_CS F111 » Forums » Announcements » Extra class for lecture section 1
Picture of Sadhana Jha . 	
Extra class for lecture section 1
  	

Dear Students,


Please make it convenient to attend. 


See this post in context
Change your forum digest preferences


",Academics
"

BIRLA INSTITUTE OF TECHNOLOGY & SCIENCE, PILANI

NOTICE

BITS F111 Thermodynamics
Lecture section 1

EXTRA CLASS

Date 10th Sept 2019 (Tuesday)

lecture section 1

Time 9.00 PM



Interested students from other sections may also attend.

-- 

Manoj Kumar Soni, Ph.D., FIE,
Associate Professor, Mechanical Engineering,
Birla Institute of Technology & Science, Pilani
Pilani Campus
Vidya Vihar, 
Pilani 333031, Rajasthan, India


",Academics
"

Dear all,


1. Study pages 125-128 from the textbook (Chapter 8).


You may take the quiz as many times as you want to improve your score!

In the next lecture class (Wednesday/Thursday), you will participate in a classroom activity on cell division. If you are unable to attend the class due to a genuine reason, please let me know in advance.


Thank you,
MK









",Academics
"

11451001008_CS F111 » Forums » Announcements » Reminder for the extra class
Picture of Sadhana Jha . 	
Reminder for the extra class
  	

Dear Students,




Please make it convenient to attend.
See this post in context
Change your forum digest preferences


",Academics
"

Google Forms
Having trouble viewing or submitting this form?
Fill out in Google Forms
Revision classes of maths 1 before mid sem exam by Dr. Suresh Kumar
Considering the request of many students, few revision classes will be conducted by Dr. Suresh Kumar before the mid sem exam wherein a revision of the main concepts will be done with some selected problems. Interested students are advised to fill this form before 17th September, 2019. They will be informed about the date, time and venue of the classes.

    Write your name *
    Write your BITS id *
    Are you interested to attend the pre-midsem revision classes of maths 1 ? *
        Yes
        No 
    Never submit passwords through Google Forms.

Powered by
Google Forms
This form was created inside of BITS Pilani University.
Report Abuse - Terms of Service - Additional Terms
Create your own Google Form


",Academics
"

  Dear students,
   If you are facing some difficulty in understanding the basic concepts of first year courses (which may be due to the pace of the class/instructor or language problem) and need help then we will try to arrange some remedial classes. The purpose of these classes will be to clear the basic concepts and not an advanced level discussion on topics. Please reply to me asap by mentioning the details of the course and the kind of help required by tomorrow 5.00 PM.

Best wishes.

-- 
Dr. Ashish Tiwari
Assistant Professor
Department of Mathematics
BITS Pilani, Rajasthan




",Academics
"

I bet you all are frustrated with untidy rooms and shitty cleaning services and their prices.
What do you all think about a subscription to cleaning. It would be including plans like.

1  Sunday only
2. Thrice a week
3. Every day

All the plans would be affordable as you are signing for a complete month at once. Workers will be good.
There'll be few time slots....you can choose according to your class timings.

Fill this google form and share your precious views with me. It would be a great help for me.
Click on this...to fill the form


",Academics
"

Thanks, I'll check it out. 

Regards,

Harsh Shukla

Hostel Representative,

SR Bhawan C&D.
▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄

Birla Institute of Technology & Science, Pilani



    I bet you all are frustrated with untidy rooms and shitty cleaning services and their prices.
    What do you all think about a subscription to cleaning. It would be including plans like.

    1  Sunday only
    2. Thrice a week
    3. Every day

    All the plans would be affordable as you are signing for a complete month at once. Workers will be good.
    There'll be few time slots....you can choose according to your class timings.

    Fill this google form and share your precious views with me. It would be a great help for me.
    Click on this...to fill the form



",Academics
"

11451001002_BIO F111 » Forums » Announcements » Extra Class for Section 10 (Tut Ins Uma Dubey)
Picture of Rajdeep Chowdhury . . 	
Extra Class for Section 10 (Tut Ins Uma Dubey)
  	

NOTICE


Uma S Dubey
See this post in context
Change your forum digest preferences


",Academics
"

11451001004_BITS F111 » Forums » Announcements » Notice Extra class 19th Sept 2019 room 5105 at 9 PM lecture section 1
Dr. Manoj Soni 	
Notice Extra class 19th Sept 2019 room 5105 at 9 PM lecture section 1
  	


Room 5105 



Manoj Soni
I/c BITS F111
See this post in context
Change your forum digest preferences


",Academics
"

Dear Students,



Interested students are welcome to attend.

Best wishes,

Dr. Suresh Kumar
Associate Professor, Department of Mathematics
BITS Pilani, Pilani Campus, Rajasthan-333031, INDIA.
▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄





",Academics
"

Picture of Aakash Chand Rai . 	
  	

Dear all,


Note that this class will be treated as a control volume, but please don't create disturbance for fellow students.

Cheers,

Aakash Rai
See this post in context
Change your forum digest preferences


",Academics
"

11451001010_MATH F111 » Forums » Announcements » Notice for pre-midsem revision class
Picture of Suresh Kumar . . 	
Notice for pre-midsem revision class
  	

A couple of pre-midsem revision classes will be conducted by Dr. Suresh Kumar. First class is scheduled on 20th September (Friday) at 6 PM in Room No. 5102. Interested students are welcome to attend.


IC
See this post in context
Change your forum digest preferences


",Academics
"

Dear All,


Next revision class is likely to be on coming Tuesday at 6 PM. Exact details will be informed you soon. In this class a complete revision of chapter 11 will be done with special emphasis on graphing of polar curves. Students having difficulty in polar curves graphing should be keen to attend this revision class.

Cheers, 

Dr. Suresh Kumar
Associate Professor, Department of Mathematics
BITS Pilani, Pilani Campus, Rajasthan-333031, INDIA.
▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄





",Academics
"

Dear Students,

The second revision class is scheduled on Tuesday (24th September) at 6 PM in Room No. 5102, in which chapter 11 and a part of chapter 14 will be revised. Remaining part of chapter 14 will be done in a revision class on Friday.

I know it is a very busy time for you due to number of things like many students will appear in thermo. test at 5 PM on Tuesday. But that is the life at BITS which makes you learn and prepare for future challenges. So accept it happily, and energize yourself  to manage the time and challenges. 

It is not easy for teachers also. For instance, I will be teaching for 3 hours on Tuesday before I reach your class at 6 PM. It is because I would be busy in official meetings and other works on Wednesday and Thursday ....

See you,

Cheers

Dr. Suresh Kumar
Associate Professor, Department of Mathematics
BITS Pilani, Pilani Campus, Rajasthan-333031, INDIA.
▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄





",Academics
"

11451001010_MATH F111 » Forums » Announcements » Notice for second revision class
Picture of Suresh Kumar . . 	
Notice for second revision class
  	

Second revision class is scheduled on 24th September (Tuesday) at 6 PM in Room No. 5102. Interested students are welcome to attend.

IC

See this post in context
Change your forum digest preferences


",Academics
"

Picture of Aakash Chand Rai . 	
  	
PDF document MID SEM 2018-19.pdf

Dear all,

Kindly take a print of the attached question paper for tomorrow's extra class.

Best regards,

Aakash
Show parent
See this post in context
Change your forum digest preferences


",Academics
"

Dear All, 


I am happy to see that you attended the lecture in a large number. Thank you for following my advice. 

Now we will meet on Friday for the revision of some key concepts of chapter 14.

Cheers,

Suresh

Dr. Suresh Kumar
Associate Professor, Department of Mathematics
BITS Pilani, Pilani Campus, Rajasthan-333031, INDIA.
▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄






    Dear Students,

    The second revision class is scheduled on Tuesday (24th September) at 6 PM in Room No. 5102, in which chapter 11 and a part of chapter 14 will be revised. Remaining part of chapter 14 will be done in a revision class on Friday.

    I know it is a very busy time for you due to number of things like many students will appear in thermo. test at 5 PM on Tuesday. But that is the life at BITS which makes you learn and prepare for future challenges. So accept it happily, and energize yourself  to manage the time and challenges. 

    It is not easy for teachers also. For instance, I will be teaching for 3 hours on Tuesday before I reach your class at 6 PM. It is because I would be busy in official meetings and other works on Wednesday and Thursday ....

    See you,

    Cheers

    Dr. Suresh Kumar
    Associate Professor, Department of Mathematics
    BITS Pilani, Pilani Campus, Rajasthan-333031, INDIA.
    ▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄





",Academics
"

BIRLA INSTITUTE OF TECHNOLOGY & SCIENCE, PILANI

NOTICE

BITS F111 Thermodynamics
Lecture section 1

EXTRA CLASS

for problems discussion

Date 26th Sept 2019 (Thursday)

lecture section 1

Time 9.00 PM



Interested students from other sections may also attend.

-- 

Manoj Kumar Soni, Ph.D., FIE,
Associate Professor, Mechanical Engineering,
Birla Institute of Technology & Science, Pilani
Pilani Campus
Vidya Vihar, 
Pilani 333031, Rajasthan, India


",Academics
"

11451001004_BITS F111 » Forums » Announcements » 26 Sep (Thursday) Lecture Class Cancelled for Section 3
Picture of Aakash Chand Rai . 	
26 Sep (Thursday) Lecture Class Cancelled for Section 3
  	

Dear students, 

My tomorrow's lecture class (26 Sep) is cancelled; instead office hours will be conducted during that time in my chamber (1212-D).

Best regards,

Aakash
See this post in context
Change your forum digest preferences


",Academics
"

Picture of Aakash Chand Rai . 	
  	
PDF document MID SEM 2018-19 Paper and Solution.pdf

Dear all,

Thanks for the tremendous response to yesterday's extra class. I am attaching the solution for the 2018-19 mid-sem paper here for your perusal.

Cheers,

Aakash
Show parent
See this post in context
Change your forum digest preferences


",Academics
"

11451001004_BITS F111 » Forums » Announcements » Compensatory Tutorial Class (Section-3)
Picture of Amit Jain . . 	
Compensatory Tutorial Class (Section-3)






Best wishes!
See this post in context
Change your forum digest preferences


",Academics
"

Dear All, 

The final revision class is scheduled tomorrow (Friday, 27th September) at 6 PM in Room No. 5102 to discuss some key concepts from chapter 14 with the practice of some problems.


See you tomorrow.

Cheers,

Dr. Suresh Kumar
Associate Professor, Department of Mathematics
BITS Pilani, Pilani Campus, Rajasthan-333031, INDIA.
▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄





",Academics
"

BIRLA INSTITUTE OF TECHNOLOGY & SCIENCE, PILANI

NOTICE

BITS F111 Thermodynamics
Lecture section 1

EXTRA CLASS

for problems discussion

Date 26th Sept 2019 (Thursday)

lecture section 1

Time 9.00 PM



Interested students from other sections may also attend.

-- 

Manoj Kumar Soni, Ph.D., FIE,
Associate Professor, Mechanical Engineering,
Birla Institute of Technology & Science, Pilani
Pilani Campus
Vidya Vihar, 
Pilani 333031, Rajasthan, India


",Academics
"

11451001010_MATH F111 » Forums » Announcements » Final revision class
Picture of Suresh Kumar . . 	
Final revision class
  	

The third and final revision class is scheduled tomorrow (Friday, 27th September) at 6 PM in Room No. 5102.


IC

See this post in context
Change your forum digest preferences


",Academics
"

Dear All,



All the best for mid sem exam!

Cheers,

Dr. Suresh Kumar
Associate Professor, Department of Mathematics
BITS Pilani, Pilani Campus, Rajasthan-333031, INDIA.
▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄






    Dear All, 

    The final revision class is scheduled tomorrow (Friday, 27th September) at 6 PM in Room No. 5102 to discuss some key concepts from chapter 14 with the practice of some problems.


    See you tomorrow.

    Cheers,

    Dr. Suresh Kumar
    Associate Professor, Department of Mathematics
    BITS Pilani, Pilani Campus, Rajasthan-333031, INDIA.
    ▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄





",Academics
"

Many students have doubts in using polar coordinates to prove the existence or non-existence of a limit. Hope the following examples with solutions would help to understand it. Note that (x,y) tends to (0,0) in all these examples.

image.png


Dr. Suresh Kumar
Associate Professor, Department of Mathematics
BITS Pilani, Pilani Campus, Rajasthan-333031, INDIA.
▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄






    Dear All,



    All the best for mid sem exam!

    Cheers,

    Dr. Suresh Kumar
    Associate Professor, Department of Mathematics
    BITS Pilani, Pilani Campus, Rajasthan-333031, INDIA.
    ▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄






        Dear All, 

        The final revision class is scheduled tomorrow (Friday, 27th September) at 6 PM in Room No. 5102 to discuss some key concepts from chapter 14 with the practice of some problems.


        See you tomorrow.

        Cheers,

        Dr. Suresh Kumar
        Associate Professor, Department of Mathematics
        BITS Pilani, Pilani Campus, Rajasthan-333031, INDIA.
        ▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄





",Academics
"

11451001004_BITS F111 » Forums » Announcements » Notice Mid Sem
Dr. Manoj Soni 	
Notice Mid Sem
  	
PDF document Notice Mid sem.pdf

BIRLA INSTITUTE OF TECHNOLOGY & SCIENCE, PILANI 

NOTICE ANNOUNCEMENT OF MID SEM (OPEN BOOK) – REGULAR 










 Answer Part A in question paper itself in the space provided. 

 Answer Part B in the answer book. 

 Submit both part A and Part B. 


 Text book and Thermodynamic property tables from 7th edition and personal handwritten class notes are allowed. Photocopy of other’s notes is NOT allowed. 

 Make up will be given to only genuine cases. Prior permission is necessary for make-up. 

 Strictly follow seating arrangement. The team will not be responsible for answerbook of the student, if he/she is not seating in the assigned room. 


(Instructor-In-Charge) 

BITS F111 Thermodynamics
See this post in context
Change your forum digest preferences


",Academics
"

11451001004_BITS F111 » Forums » Announcements » No class for tutorial section 11 on 10/10/19
Picture of Arghya Banerjee . 	
No class for tutorial section 11 on 10/10/19
  	

Dear Students,

Please note that there will be no tutorial class for section 11 on Thursday (10/10/19, 1st Hour). I will announce the make up class later.

Best Regards

Arghya
See this post in context
Change your forum digest preferences


",Academics
"

11451001010_MATH F111 » Forums » Announcements » T2 Class Cancellation Notice
Picture of Shruti . 	
T2 Class Cancellation Notice
  	

The tutorial class of section T2 scheduled on Monday (07-10-2019) at 9 AM is cancelled. Compensatory class will be announced later.


Instructor - Shruti
See this post in context
Change your forum digest preferences


",Academics
"

11451001002_BIO F111 » Forums » Announcements » Tutorial Class for Section-2 on 7th Oct Monday is to be rescheduled
Picture of Rajdeep Chowdhury . . 	
Tutorial Class for Section-2 on 7th Oct Monday is to be rescheduled
  	

Dear Students,

As of now, the tutorial class of Section-2 for 7th Oct (Monday) is cancelled. The class would be re-scheduled. You shall be informed of the data and time for the re-scheduled class.

Best wishes

IC
See this post in context
Change your forum digest preferences


",Academics
"

Google Forms
Having trouble viewing or submitting this form?
Fill out in Google Forms
Feedback on revision classes
Dear All, Hope you did well in the mid semester examination. You know some revision classes for maths 1 were conducted before the mid sem exam. Such revision classes for this course have been conducted for the first time in BITS Pilani to my knowledge. Hope there were useful for you. I need your feedback regarding these revision classes. Your feedback could be a motivating/guiding force for my future plans for this course. I may plan some revision classes before the compre exam also. You may also write your feedback regarding the regular tutorial/lecture classes. This would also help for the improvement of this course. Being responsible students, hope all of you will write your feedback for the improvement/betterment of this course. Please feel free to write your feedback. Thank you.

    Your BITS ID *
    Your Name *
    Feedback on revision classes *
    Feedback on regular tutorial/lecture classes *
    Never submit passwords through Google Forms.

Powered by
Google Forms
This form was created inside of BITS Pilani University.
Report Abuse - Terms of Service - Additional Terms
Create your own Google Form


",Academics
"

11451001010_MATH F111 » Forums » Announcements » cancellation of tutorial class of section 12
Picture of Ashish Tiwari . 	
cancellation of tutorial class of section 12
  	

Tutorial class of section 12 instructor Ashish Tiwari will remain cancelled on October 9. Compensatory class will be announced later.

Ashish Tiwari
See this post in context
Change your forum digest preferences


",Academics
"

Picture of Gajendra Singh Chauhan . . 	
  	
Word document TRW_Mid Sem_Solutions.doc

Dear Students

Please find the Mid Sem Solution guidelines and marking scheme. You are strongly advised to refer to it before coming to the class for paper collection.

Best wishes

Course IC
See this post in context
Change your forum digest preferences


",Academics
"

11451001002_BIO F111 » Forums » Announcements » Tutorial Class Section 2 tomorrow 2pm
Picture of Rajdeep Chowdhury . . 	
Tutorial Class Section 2 tomorrow 2pm
  	

Dear Students,

An extra class is scheduled for section 2 only (Instructor Ms Abhilasha Srivastava) tomorrow, Saturday 12.10.2019 in room no 6102 at 2 pm.

thanks

IC
See this post in context
Change your forum digest preferences


",Academics
"

11451001013_ME F110 » Forums » Announcements » Pre-compre Marks (Upto 27/09/2019)
Picture of Ravinder Kumar . 	
Pre-compre Marks (Upto 27/09/2019)
  	
PDF document Pre-compre Marks, Workshop Practice, I Sem 2019-20.pdf

Dear Students,

Greetings of the day,

Please find attached the Pre-compre marks for Workshop Practice upto 27/09/2019. Write to me if you find any ambiguity.


Please do not email me for the make-up classes. The email application is not considered. The make-up classes are being handled by Mr. K G Dhaiya. You can contact him for the same.


Best Wishes
See this post in context
Change your forum digest preferences


",Academics
"

11451001004_BITS F111 » Forums » Announcements » Rescheduling tutorial class for tutorial section 8 (Wednesday, third hour)
Picture of Somak Chatterjee . 	
Rescheduling tutorial class for tutorial section 8 (Wednesday, third hour)
  	

Dear Students,

All those who are registered in Tutorial section 8 are hereby requested to make note of the following announcement.

The class on Wednesday, third hour (16/10/2019) will be taken on Friday, 18/10/2019 (6-7 pm) at room no 6160.

Compensatory classes for 09/10/2019 will be announced later.
See this post in context
Change your forum digest preferences


",Academics
"

11451001010_MATH F111 » Forums » Announcements » Mathematics 1 tutorial classes for Sections 15 and 19 cancellation.
Picture of Anirudh Singh Rana . 	
Mathematics 1 tutorial classes for Sections 15 and 19 cancellation.
  	

The Mathematics 1 tutorial classes for Sections 15 and 19 will be cancelled on 24th and 25th October. Extra class will be announced later.
See this post in context
Change your forum digest preferences


",Academics
"

11451001010_MATH F111 » Forums » Announcements » T16 Class Cancellation
Picture of Yogendra Sharma . 	
T16 Class Cancellation
  	

The tutorial class of section T16 scheduled on Thursday (24-10-2019) at 2 PM is canceled. Information for the compensatory class will be further announced at the Nalanda dashboard.
See this post in context
Change your forum digest preferences


",Academics
"

11451001010_MATH F111 » Forums » Announcements » T21 Class Cancellation
Picture of Deepak . 	
T21 Class Cancellation
  	

See this post in context
Change your forum digest preferences


",Academics
"

11451001002_BIO F111 » Forums » Announcements » Tutorial section 12 and 4 classes re-scheduled for 26th and 29th
Picture of Rajdeep Chowdhury . . 	
Tutorial section 12 and 4 classes re-scheduled for 26th and 29th
  	

Dear Students,


The 26th Oct class is moved to 31st Oct Thursday - 5-6 pm (Room No 6164)


Thanks
IC

See this post in context
Change your forum digest preferences


",Academics
"

11451001004_BITS F111 » Forums » Announcements » Class Cancellation
Picture of Aakash Chand Rai . 	
Class Cancellation
  	

Dear Students,

This saturday's lecture (Section #3) class is cancelled, and will be rescheduled later.

Best regards,

Aakash
See this post in context
Change your forum digest preferences


",Academics
"

11451001004_BITS F111 » Forums » Announcements » No tutorial class for section 5 on 29/10/2019
Picture of A R Harikrishnan . 	
No tutorial class for section 5 on 29/10/2019
  	

Dear Students of tutorial section 5,

Please note that there will be no tutorial class for tutorial section 5 on upcoming Tuesday (29/10/19, 1st Hour). The makeup class date, time and venue will be announced later.

Best Regards,

Harikrishnan

See this post in context
Change your forum digest preferences


",Academics
"

11451001002_BIO F111 » Forums » Announcements » Lecture Classes from 31st to 2nd By Dr Manoj Kannan
Picture of Rajdeep Chowdhury . . 	
Lecture Classes from 31st to 2nd By Dr Manoj Kannan
  	

Dear Students,

The lecture classes from 31st Oct to 2nd Nov would be taken by Dr Manoj Kannan. 

He would be covering Chapter 16- The Body's Defenses.

best wishes

Rajdeep
See this post in context
Change your forum digest preferences


",Academics
"

11451001002_BIO F111 » Forums » Announcements » Syllabus and Date for Course Quiz 2
Picture of Rajdeep Chowdhury . . 	
Syllabus and Date for Course Quiz 2
  	

Dear Students,

The Course Quiz-2 is scheduled on 9th Nov Saturday (5pm-6pm). The syllabus for the same would be the following ONLY-


Hope this helps.

best wishes,

Rajdeep (IC)
See this post in context
Change your forum digest preferences


",Academics
"

11451001010_MATH F111 » Forums » Announcements » T14 class cancellation
Picture of Sandeep Dalal . 	
T14 class cancellation
  	

See this post in context
Change your forum digest preferences


",Academics
"

Picture of Gajendra Singh Chauhan . . 	
  	

Dear Students (L3)


Course IC
See this post in context
Change your forum digest preferences


",Academics
"

11451001010_MATH F111 » Forums » Announcements » Compensatory class of T-12
Picture of Ashish Tiwari . 	
Compensatory class of T-12
  	

The will be a compensatory class of T-12 section on 4-11-2019 at 5 PM in room no. 6160. Please make it convenient to attend the same.


Ashish Tiwari
See this post in context
Change your forum digest preferences


",Academics
"

Students of Section-1 (Monday series) will have an extra class beginning at 11 AM tomorrow (3/11) in Rm. 5105. I will cover specific immunity, and also diseases associated with the immune system. This is a fairly involved topic, and it would benefit you to be present for this class.


MK





",Academics
